tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres
tt0359285,Folley - Buschgeister tanzen im Rauch,Folley - Buschgeister tanzen im Rauch,1990,88,['Documentary']
tt0358955,Atishbaz,Atishbaz,1990,165,"['Crime', 'Drama']"
tt2915632,Dao yin jian chu cha,Dao yin jian chu cha,1990,92,"['Comedy', 'Fantasy', 'Horror']"
tt0355038,Wu hu chuang Tianqiao,Wu hu chuang Tianqiao,1990,96,['Adventure']
tt0354259,Über die Grenzen,Über die Grenzen,1990,105,['Drama']
tt0353899,Posrednik,Posrednik,1990,228,"['Action', 'Sci-Fi']"
tt0353661,Leipzig im Herbst,Leipzig im Herbst,1990,54,['Documentary']
tt0359953,La secta de la muerte,La secta de la muerte,1990,81,['Horror']
tt0351716,Sheng Baoluo yi yuan zhi mi,Sheng Baoluo yi yuan zhi mi,1990,88,"['Crime', 'Horror', 'Thriller']"
tt0363795,Mandira,Mandira,1990,140,"['Drama', 'Romance']"
tt0363915,Pyar Ke Naam Qurban,Pyar Ke Naam Qurban,1990,134,"['Action', 'Drama', 'Romance']"
tt0378156,Kaaranama,Kaaranama,1990,138,['Drama']
tt0377677,Condom,Condom,1990,65,['Documentary']
tt0377396,Asikel - Die Reise,Asikel - Die Reise,1990,90,['Documentary']
tt0377003,Soldier on Leave,Yeoguneochul,1990,88,['Romance']
tt0376789,Man Market,Namja shijang,1990,105,['Drama']
tt0376699,Karnavalat,Karnavalat,1990,91,['Comedy']
tt0375943,Age of Prostitution,Maechun shidae,1990,100,['Drama']
tt0374891,"Mágico, el enviado de los dioses","Mágico, el enviado de los dioses",1990,79,"['Action', 'Adventure', 'Fantasy']"
tt0374259,Tadap,Tadap,1990,135,['Drama']
tt0373210,The Orchestra,The Orchestra,1990,52,"['Animation', 'Fantasy', 'Musical']"
tt0372546,Sacred Cow,Surabidena,1990,135,"['Drama', 'Romance']"
tt0363810,Mera Pati Sirf Mera Hai,Mera Pati Sirf Mera Hai,1990,142,"['Drama', 'Family']"
tt0370979,Muerte bajo la piel,Muerte bajo la piel,1990,90,"['Action', 'Crime', 'Thriller']"
tt0369811,Palata,Palata,1990,50,"['Documentary', 'Drama']"
tt0369299,Brush with Death,Brush with Death,1990,90,"['Action', 'Crime', 'Drama']"
tt0368978,La soplona,La soplona,1990,79,"['Action', 'Crime', 'Thriller']"
tt0367685,Duraki umirayut po pyatnitsam,Duraki umirayut po pyatnitsam,1990,96,"['Action', 'Crime']"
tt0365290,Gross Out,Gross Out,1990,82,['Comedy']
tt0364962,Assim na Tela Como no Céu,Assim na Tela Como no Céu,1990,110,['Comedy']
tt0364739,Was wird aus mir...,Was wird aus mir...,1990,88,['Documentary']
tt0363959,Roti Kee Keemat,Roti Kee Keemat,1990,130,"['Action', 'Crime', 'Drama']"
tt0363921,Raeeszada,Raeeszada,1990,149,['Drama']
tt0370606,Gorod,Gorod,1990,83,['Drama']
tt0378659,Rescate mortal,Rescate mortal,1990,90,['Action']
tt0350968,"Father, Son and the Old Car",Fu zi lao ye che,1990,84,['Comedy']
tt0350564,Aunque sea una película chiquita,Aunque sea una película chiquita,1990,78,['Drama']
tt0337002,Pengantin,Pengantin,1990,85,"['Drama', 'Romance']"
tt0336855,Abdullah from Minye,Minyeli Abdullah,1990,105,['Drama']
tt0336492,Stepan Guslyakov's Harem,Garem Stepana Guslyakova,1990,99,['Drama']
tt0336057,Blok M,Blok M,1990,83,['Drama']
tt2944214,No me amenaces,No me amenaces,1990,52,['Documentary']
tt0335877,Anak ni Baby Ama,Anak ni Baby Ama,1990,90,"['Action', 'Crime', 'Drama']"
tt0335447,Suamiku sayang,Suamiku sayang,1990,93,"['Comedy', 'Drama']"
tt0335294,Misteri dari Gunung Merapi,Misteri dari Gunung Merapi,1990,90,"['Action', 'Horror']"
tt0335217,Jual tampang,Jual tampang,1990,84,"['Comedy', 'Drama']"
tt0334762,Young-gu Rambo,Young-guwa daengchili 3tan: Young-gu Rambo,1990,72,"['Action', 'Comedy', 'War']"
tt0334679,Zalcio Zvilgsnis/A Glance of the Serpent,Zalcio Zvilgsnis/A Glance of the Serpent,1990,101,"['Crime', 'Drama']"
tt0334659,Vot ya stal bogatyy ser i priekhal v EsEsEr,Vot ya stal bogatyy ser i priekhal v EsEsEr,1990,69,['Documentary']
tt0337214,Soerabaja '45,Soerabaja '45,1990,120,"['Drama', 'War']"
tt0334658,"Vostochnyy koridor, ili reket po...","Vostochnyy koridor, ili reket po...",1990,134,['Action']
tt0334441,Superman Iljimae,Superman Iljimae,1990,85,"['Action', 'Adventure', 'Fantasy']"
tt0334379,Dectective So Jeok-gung,So Jeok-gung tamjeong,1990,80,['Comedy']
tt0334234,Reservoirs of Strength... A Burn Recovery Film,Reservoirs of Strength... A Burn Recovery Film,1990,57,['Documentary']
tt0334205,Ra: Path of the Sun God,Ra: Path of the Sun God,1990,72,"['Animation', 'Drama', 'Fantasy']"
tt0334024,Who Broke the Rose's Stem?,Nuga bulgeun jangmireul geokeotna,1990,97,"['Mystery', 'Thriller']"
tt0333662,The Whore,Jangbu ilsaek,1990,115,['Drama']
tt0333588,Hostess Miss Ko,Hostess Miss Ko,1990,110,"['Drama', 'Romance']"
tt0333215,The Magician's Hat,Carobnjakov sesir,1990,75,"['Animation', 'Family', 'Fantasy']"
tt0333200,Two Crazy Heroes,Byeolnan du yeongwoong,1990,94,"['Action', 'Comedy']"
tt0333145,Tainted Rose,Beolremeokeun jangmi,1990,110,"['Drama', 'Thriller']"
tt0333124,"Bahia - Praias, Ilhas e Portos Seguros","Bahia - Praias, Ilhas e Portos Seguros",1990,78,['Documentary']
tt0332830,The World Within: C.G. Jung in His Own Words,The World Within: C.G. Jung in His Own Words,1990,60,['Documentary']
tt0334648,Volki v zone,Volki v zone,1990,80,"['Crime', 'Drama']"
tt0350675,Mrs Cabaret,Cabaret buin,1990,102,"['Drama', 'Romance']"
tt0337383,Vaikai is Amerikos viesbucio,Vaikai is Amerikos viesbucio,1990,88,"['Drama', 'History', 'Music']"
tt0338330,The Passion of Bernadette,La passion de Bernadette,1990,106,"['Biography', 'Drama', 'History']"
tt0350132,Small and Terrible,Small and Terrible,1990,116,['Comedy']
tt0349674,Kanojo ga kekkon shinai riyû,Kanojo ga kekkon shinai riyû,1990,95,['Romance']
tt0349481,1750 Days of Turbulence,Gekido no 1750 nichi,1990,115,"['Action', 'Drama']"
tt0349143,Don't Cry Mother,"Bie ku, ma ma",1990,100,"['Drama', 'Family']"
tt0348461,You're Driving Me Crazy,You're Driving Me Crazy,1990,83,"['Drama', 'Fantasy', 'Thriller']"
