titleId,title,startYear,runtimeMinutes,genres,averageRating,numVotes,sum_pop_actor,main_Actor,nb_main_actor,id_main_actor,poster_path,popularity_movie
tt0120603,La bien-aimée,1998,172,"Drama,History-War-Documentary,Horror",6.0,9109.0,28755,unpopolar,0.0,no_id_main_actor,/f7gZS0J9bPq2v0cANozm6P0Mrux.jpg,11.457
tt0100440,La putain du roi,1990,138,"Drama,History-War-Documentary,Romance",5.8,816.0,43186,unpopolar,0.0,no_id_main_actor,/2OlOFSB7H9yqmgVTyrcgFGEznrG.jpg,5.027
tt0109443,Trou de mémoire,1994,107,"Comedy,Mystery",5.7,3985.0,60046,unpopolar,0.0,no_id_main_actor,/kAYsvQvBVshLHGTIDGHcj9jTJq0.jpg,3.932
tt0104346,L'ange du ring,1992,101,"Action,Drama,Sport",6.5,9521.0,30433,unpopolar,0.0,no_id_main_actor,/24eDtuux6l0Mgl8sX8fSxa20HEh.jpg,16.38
tt0113691,Les chemins de l'amour,1993,111,Drama,6.4,6186.0,65630,unpopolar,0.0,no_id_main_actor,/oHALKuPewtqIn2BcluZsGvcEG1P.jpg,8.764
tt0099052,Arachnophobie,1990,109,"Comedy,Horror,Thriller",6.5,70646.0,53794,unpopolar,0.0,no_id_main_actor,/lHjpwv1Yv2RcGcTQb4Lc1cKw1y9.jpg,10.118
tt0100691,Stella,1990,109,"Drama,Romance",6.1,2704.0,53048,unpopolar,0.0,no_id_main_actor,/hQOd9c9IpzsRC1sipxUmR8X6ApV.jpg,3.734
tt0101410,Barton Fink,1991,116,"Comedy,Drama,Thriller",7.6,122222.0,72322,John Turturro,1.0,nm0001806,/846d8FclibtOIoUW7PxpT0nCG4C.jpg,14.875
tt0102216,Ralph Superking,1991,97,"Comedy,Romance",5.4,16277.0,58194,unpopolar,0.0,no_id_main_actor,/fRHq4KerVgNRLaDwwuYpCAHIQJX.jpg,10.095
tt0106466,Quand l'esprit vient aux femmes,1993,100,"Comedy,Romance",5.2,3999.0,49944,unpopolar,0.0,no_id_main_actor,/dUANBUEbVprsyEzRPe1mQFACr3n.jpg,5.1
tt0107529,Matinée,1993,99,"Comedy,Drama",6.9,11158.0,59444,unpopolar,0.0,no_id_main_actor,/AkRirG44JdKb4UKxqf92DOYeNEB.jpg,9.71
tt0109813,Les Pierrafeu,1994,91,"Comedy,Family,Fantasy",4.9,81727.0,54469,unpopolar,0.0,no_id_main_actor,/ocsb0qiGlcn6UlcDRHa3xxSCc8Y.jpg,41.9
tt0118755,Le petit monde des emprunteurs,1997,89,"Adventure,Comedy,Family",5.8,22544.0,51383,unpopolar,0.0,no_id_main_actor,/kgaocWyuxihDe5aNqok6fORIHnY.jpg,16.325
tt0165454,Otages du jeu,1999,94,"Crime,Drama,Thriller",5.6,1194.0,82104,Courteney Cox,1.0,nm0001073,/mzNyDHOm6Ingz8tSVDOKq8f1mgI.jpg,1.127
tt0102103,Impromptu,1991,107,"Biography,Comedy,Music",6.8,5200.0,35698,unpopolar,0.0,no_id_main_actor,/jaBLWotURl7F7nxpxdjk95tuXWq.jpg,5.075
tt0109831,Quatre mariages et un enterrement,1994,117,"Comedy,Drama,Romance",7.1,153360.0,52585,unpopolar,0.0,no_id_main_actor,/qa72G2VS0bpxms6yo0tI9vsHm2e.jpg,18.537
tt0111201,Sirènes,1994,98,"Comedy,Drama,Romance",5.9,10969.0,72539,Sam Neill,1.0,nm0000554,/7qjsO2xOyq5GhXQTG7L24pDPRmu.jpg,11.23
tt0112427,Aventure en coulisses,1995,112,"Comedy,Drama,Romance",5.9,2840.0,40463,unpopolar,0.0,no_id_main_actor,/tfXBuRBMbyu9IF9KCFz3kXeWQDT.jpg,7.29
tt0112966,L'homme qui gravit une colline et redescendit une montagne,1995,99,"Comedy,Drama,Romance",6.6,17753.0,42302,unpopolar,0.0,no_id_main_actor,/dnatrgiXFf6BLfb2IKHVmg9tCi7.jpg,15.311
tt0116259,Mesures extrêmes,1996,118,"Crime,Drama,Mystery",6.2,19759.0,70166,unpopolar,0.0,no_id_main_actor,/fFpA6zm0QGA2oz5yk6pgGeUFfhv.jpg,8.381
tt0130121,Mickey belle gueule,1999,102,"Comedy,Crime,Romance",5.9,37052.0,74986,James Caan,1.0,nm0001001,/5nIqLKEhWdA2QpzyaI2sbsTPaxP.jpg,9.085
tt0105824,Wind (Version Française),1992,126,"Action,Drama,Sport",6.4,2887.0,46002,unpopolar,0.0,no_id_main_actor,/gKZuDK6kI5vsrS9nWhLoj1xNKPM.jpg,4.1
tt0120230,Ruse et manigance,1997,90,"Action,Drama",3.9,230.0,53455,Pam Grier,1.0,nm0000427,/7gHrRvJAE8rfILldYkyIU3keXHL.jpg,1.953
tt0100318,Fenêtre sur Pacifique,1990,102,Thriller,6.4,20836.0,66811,Michael Keaton,1.0,nm0000474,/9iHD6xIrGSuuMEFWhwSVGXSddY2.jpg,7.778
tt0105483,Une étrangère parmi nous,1992,110,"Crime,Drama,Romance",5.6,3933.0,29978,unpopolar,0.0,no_id_main_actor,/t9V1cE3PzlK0syDD2HzrUiUpIRV.jpg,7.427
tt0110516,Quand les gamins s'en mêlent,1994,110,"Comedy,Romance",5.6,12376.0,74483,"Ed Harris, Malcolm McDowell",2.0,"nm0000438, nm0000532",/od8SCOMLDq4iRYaHNqihQVn1SNE.jpg,10.737
tt0119558,Lolita,1997,137,"Drama,Romance",6.8,59743.0,55228,unpopolar,0.0,no_id_main_actor,/9INcC14WZjCMKGE360VXmklCLdZ.jpg,58.681
tt0098966,Trois hommes et une jeune demoiselle,1990,104,"Comedy,Drama,Family",5.4,25034.0,80608,Tom Selleck,1.0,nm0000633,/q0xAFCyGoOYHZyFD3uxhZL10Xe6.jpg,12.082
tt0112499,Le Big Green: Une équipe sans pareil,1995,100,"Comedy,Family,Sport",5.5,10313.0,48679,unpopolar,0.0,no_id_main_actor,/nVHqIuBTcTLmAIrML7T704UwfNI.jpg,10.642
tt0120550,Zeus and Roxanne,1997,98,"Adventure,Comedy,Family",5.3,3109.0,54547,unpopolar,0.0,no_id_main_actor,/qseuz0wqq0YS6TRzLIiKoKzQTxQ.jpg,5.767
